numero,nombre,edad,teamTo,teamFrom,leagueTo,leagueFrom,totalCost, year,
1,Michael Essien,22,Chelsea,Olympique Lyon,Premier League,Ligue 1,38.00.,2005,
2,Shaun Wright-Phillips,23,Chelsea,Man City,Premier League,Premier League,31.50.,2005,
3,Sergio Ramos,19,Real Madrid,Sevilla FC,LaLiga,LaLiga,27.00.,2005,
4,Michael Owen,25,Newcastle,Real Madrid,Premier League,LaLiga,25.00.,2005,
5,Alberto Gilardino,23,AC Milan,Parma,Serie A,Serie A,25.00.,2005,
6,Robinho,21,Real Madrid,Santos FC,LaLiga,Serie A,24.00.,2005,
7,Patrick Vieira,29,Juventus,Arsenal,Serie A,Premier League,20.00.,2005,
8,Julio Baptista,23,Real Madrid,Sevilla FC,LaLiga,LaLiga,20.00.,2005,
9,Albert Luque,27,Newcastle,Dep. La Coruna,Premier League,LaLiga,20.00.,2005,
10,Walter Samuel,27,Inter,Real Madrid,Serie A,LaLiga,18.00.,2005,
11,Maniche,27,Dinamo Moscow,FC Porto,Premier Liga,Liga NOS,16.00.,2005,
12,Fred,21,Olympique Lyon,Cruzeiro,Ligue 1,Serie A,15.60.,2005,
13,Jermaine Jenas,22,Spurs,Newcastle,Premier League,Premier League,15.00.,2005,
14,Aleksandr Hleb,24,Arsenal,VfB Stuttgart,Premier League,1.Bundesliga,15.00.,2005,
15,Asier del Horno,24,Chelsea,Athletic Bilbao,Premier League,LaLiga,12.00.,2005,
16,David Pizarro,25,Inter,Udinese Calcio,Serie A,Serie A,12.00.,2005,
17,David Villa,23,Valencia CF,Real Zaragoza,LaLiga,LaLiga,12.00.,2005,
18,Mohamed Sissoko,20,Liverpool,Valencia CF,Premier League,LaLiga,12.00.,2005,
19,Javier Mascherano,21,Corinthians,River Plate,Serie A,Torneo Inicial,11.80.,2005,
20,Dean Ashton,22,West Ham,Norwich,Premier League,Championship,10.89.,2005,
21,Peter Crouch,24,Liverpool,Southampton,Premier League,Championship,10.50.,2005,
22,empty,24,Man Utd,Spartak Moscow,Premier League,Premier Liga,10.50.,2005,
23,Theo Walcott,16,Arsenal,Southampton,Premier League,Championship,10.50.,2005,
24,Lucho Gonzalez,24,FC Porto,River Plate,Liga NOS,Torneo Inicial,10.25.,2005,
25,Luca Toni,28,Fiorentina,US Palermo,Serie A,Serie A,10.00.,2005,
26,Tiago,24,Olympique Lyon,Chelsea,Ligue 1,Premier League,10.00.,2005,
27,Luis Fabiano,24,Sevilla FC,FC Porto,LaLiga,Liga NOS,10.00.,2005,
28,Georgios Seitaridis,24,Dinamo Moscow,FC Porto,Premier Liga,Liga NOS,10.00.,2005,
29,Emmanuel Adebayor,21,Arsenal,Monaco,Premier League,Ligue 1,10.00.,2005,
30,Martin Petrov,26,Atletico Madrid,VfL Wolfsburg,LaLiga,1.Bundesliga,10.00.,2005,
31,Pepe Reina,22,Liverpool,Villarreal CF,Premier League,LaLiga,9.80.,2005,
32,Yakubu Aiyegbeni,22,Middlesbrough,Portsmouth FC,Premier League,Premier League,9.75.,2005,
33,Mateja Kezman,26,Atletico Madrid,Chelsea,LaLiga,Premier League,9.00.,2005,
34,Andy van der Meyde,25,Everton,Inter,Premier League,Serie A,9.00.,2005,
35,Scott Parker,24,Newcastle,Chelsea,Premier League,Premier League,9.00.,2005,
36,Klaas-Jan Huntelaar,22,AFC Ajax,Heerenveen,Eredivisie,Eredivisie,9.00.,2005,
37,Milan Baros,23,Aston Villa,Liverpool,Premier League,Premier League,8.84.,2005,
38,Daniel Agger,21,Liverpool,Brondby IF,Premier League,Superligaen,8.76.,2005,
39,Marek Jankulovski,28,AC Milan,Udinese Calcio,Serie A,Serie A,8.50.,2005,
40,Valerien Ismael,29,Bayern Munich,Werder Bremen,1.Bundesliga,1.Bundesliga,8.50.,2005,
41,Bonaventure Kalou,27,Paris SG,AJ Auxerre,Ligue 1,Ligue 1,8.50.,2005,
42,Georgios Samaras,20,Man City,Heerenveen,Premier League,Eredivisie,8.50.,2005,
43,Miguel,25,Valencia CF,Benfica,LaLiga,Liga NOS,8.00.,2005,
44,Andrea Caracciolo,23,US Palermo,Brescia,Serie A,Serie B,8.00.,2005,
45,Patrice Evra,24,Man Utd,Monaco,Premier League,Ligue 1,8.00.,2005,
46,Stephen Appiah,24,Fenerbahce,Juventus,Super Lig,Serie A,8.00.,2005,
47,Fernandinho,20,Shakhtar D.,Atletico-PR,Premier Liga,Serie A,7.80.,2005,
48,Giorgio Chiellini,20,Juventus,Fiorentina,Serie A,Serie A,7.70.,2005,
49,John Carew,25,Olympique Lyon,Besiktas,Ligue 1,Super Lig,7.60.,2005,
50,Jon Dahl Tomasson,28,VfB Stuttgart,AC Milan,1.Bundesliga,Serie A,7.50.,2005,
51,Craig Bellamy,26,Blackburn,Newcastle,Premier League,Premier League,7.50.,2005,
52,Benoit Pedretti,24,Olympique Lyon,Marseille,Ligue 1,Ligue 1,7.50.,2005,
53,Domenico Morfeo,29,Parma,Inter,Serie A,Serie A,7.50.,2005,
54,Stephen Makinwa,21,US Palermo,Atalanta,Serie A,Serie B,7.50.,2005,
55,Ji-Sung Park,24,Man Utd,PSV Eindhoven,Premier League,Eredivisie,7.30.,2005,
56,Mamadou Niang,25,Marseille,R. Strasbourg,Ligue 1,Ligue 1,7.00.,2005,
57,Kevin Kuranyi,23,FC Schalke 04,VfB Stuttgart,1.Bundesliga,1.Bundesliga,6.90.,2005,
58,Per Kroldrup,25,Everton,Udinese Calcio,Premier League,Serie A,6.80.,2005,
59,Frederic Kanoute,27,Sevilla FC,Spurs,LaLiga,Premier League,6.50.,2005,
60,Henri Camara,28,Wigan,Wolves,Premier League,Championship,6.45.,2005,
61,Jan Kromkamp,24,Villarreal CF,AZ Alkmaar,LaLiga,Eredivisie,6.00.,2005,
62,John Utaka,23,Stade Rennais,Lens,Ligue 1,Ligue 1,6.00.,2005,
63,Camel Meriem,25,Monaco,G. Bordeaux,Ligue 1,Ligue 1,6.00.,2005,
64,Benjani,27,Portsmouth FC,AJ Auxerre,Premier League,Ligue 1,6.00.,2005,
65,Joseph Enakarhire,22,Dinamo Moscow,Sporting CP,Premier Liga,Liga NOS,6.00.,2005,
66,Manuel Pasqual,23,Fiorentina,Arezzo,Serie A,Serie B,6.00.,2005,
67,Valon Behrami,20,Lazio,Genoa,Serie A,Serie C - A,6.00.,2005,
68,Yasser Al-Qahtani,22,Hilal,Al Qadisiyah,Saudi Arabia,Saudi Arabia,6.00.,2005,
69,Emerson Sheik,26,Al-Sadd,Urawa Reds,Qatar,J1 League,6.00.,2005,
70,Antonio Cassano,23,Real Madrid,AS Roma,LaLiga,Serie A,5.50.,2005,
71,Riccardo Montolivo,20,Fiorentina,Atalanta,Serie A,Serie B,5.50.,2005,
72,Markus Rosenberg,22,AFC Ajax,Malmo,Eredivisie,Allsvenskan,5.30.,2005,
73,Phil Neville,28,Everton,Man Utd,Premier League,Premier League,5.30.,2005,
74,Simon Davies,25,Everton,Spurs,Premier League,Premier League,5.25.,2005,
75,Slobodan Rajkovic,16,Chelsea,OFK Beograd,Premier League,SuperLiga,5.20.,2005,
76,Rafael van der Vaart,22,Hamburger SV,AFC Ajax,1.Bundesliga,Eredivisie,5.10.,2005,
77,Emre Belozoglu,24,Newcastle,Inter,Premier League,Serie A,5.00.,2005,
78,Torsten Frings,28,Werder Bremen,Bayern Munich,1.Bundesliga,1.Bundesliga,5.00.,2005,
79,Maxi Rodriguez,24,Atletico Madrid,Espanyol,LaLiga,LaLiga,5.00.,2005,
80,Sylvain Monsoreau,24,Olympique Lyon,FC Sochaux,Ligue 1,Ligue 1,5.00.,2005,
81,Timmy Simons,28,PSV Eindhoven,Club Brugge,Eredivisie,Jupiler Pro League,5.00.,2005,
